DATE,QTAXTOTALQTAXCAT3VANO
2000-01-01,2787
2000-04-01,4349
2000-07-01,2950
2000-10-01,3007
2001-01-01,3077
2001-04-01,4060
2001-07-01,3257
2001-10-01,3168
2002-01-01,2486
2002-04-01,3871
2002-07-01,2971
2002-10-01,3157
2003-01-01,2921
2003-04-01,3923
2003-07-01,3179
2003-10-01,3511
2004-01-01,3169
2004-04-01,4375
2004-07-01,3544
2004-10-01,3873
2005-01-01,3689
2005-04-01,4813
2005-07-01,3171
2005-10-01,5094
2006-01-01,3831
2006-04-01,5096
2006-07-01,4248
2006-10-01,5099
2007-01-01,3983
2007-04-01,5642
2007-07-01,4427
2007-10-01,4274
2008-01-01,4064
2008-04-01,5558
2008-07-01,4382
2008-10-01,4223
2009-01-01,3255
2009-04-01,4748
2009-07-01,4051
2009-10-01,4161
2010-01-01,3223
2010-04-01,4826
2010-07-01,3930
2010-10-01,4339
2011-01-01,3697
2011-04-01,5319
2011-07-01,4112
2011-10-01,4412
2012-01-01,3925
2012-04-01,5591
2012-07-01,4535
2012-10-01,4495
2013-01-01,4077
2013-04-01,6011
2013-07-01,4469
2013-10-01,4587
2014-01-01,4157
2014-04-01,5721
2014-07-01,4747
2014-10-01,5041
2015-01-01,4265
2015-04-01,6341
2015-07-01,5033
2015-10-01,5051
2016-01-01,4666
2016-04-01,6286
2016-07-01,5197
2016-10-01,5283
2017-01-01,4964
2017-04-01,6399
2017-07-01,5430
2017-10-01,5658
2018-01-01,5416
2018-04-01,6471
2018-07-01,5550
2018-10-01,5504
2019-01-01,6190
2019-04-01,8823
2019-07-01,6537
2019-10-01,6919
2020-01-01,6337
2020-04-01,8160
2020-07-01,7113
2020-10-01,7401
2021-01-01,7327
2021-04-01,10734
2021-07-01,7964.0
2021-10-01,8551.0
2022-01-01,8394
2022-04-01,12529
2022-07-01,8050
2022-10-01,9190
2023-01-01,8373
2023-04-01,11525.0
2023-07-01,8873.0
2023-10-01,9013.0
2024-01-01,8711.0
2024-04-01,11360.0
